Date (Day/Month),Date (Day/Week),Time,Duration (min),Distance (km),The location of depature,Destination,Weather,Price (RM)
14/12,Sunday,02:48,13,6.84,UTMy,KLCC Twin Towers,Clear,19
14/12,Sunday,02:48,17,5.7,UTMy,1 Mont Kiara,Clear,17
14/12,Sunday,02:50,10,5.35,UTMy,Lalaport Bukit Bintang,Clear,18
14/12,Sunday,02:50,47,40,UTMy,KLIA,Clear,67
14/12,Sunday,02:52,14,6.89,UTMy,1 Utama Shopping mall,Clear,17
14/12,Sunday,02:52,5,0.86,UTMy,Laurel Residence,Clear,4
14/12,Sunday,02:53,10,11,UTMy,Taylor's University,Clear,13
14/12,Sunday,02:53,20,13,UTMy,Batu Caves Temple,Clear,22
14/12,Sunday,14:50,18,8.24,UTMy,Sunway Pyramid Mall,Clear,30
14/12,Sunday,14:51,6,1.22,UTMy,Mid Valley Mega Mall,Clear,15
14/12,Sunday,14:52,18,6.84,UTMy,KLCC Twin Towers,Clear,37
14/12,Sunday,14:53,23,5.7,UTMy,1 Mont Kiara,Clear,30
14/12,Sunday,14:54,15,5.35,UTMy,Lalaport Bukit Bintang,Clear,30
14/12,Sunday,14:55,53,40,UTMy,KLIA,Clear,75
14/12,Sunday,14:56,19,6.89,UTMy,1 Utama Shopping mall,Clear,34
14/12,Sunday,14:57,5,0.86,UTMy,Laurel Residence,Clear,12
14/12,Sunday,14:58,15,11,UTMy,Taylor's University,Clear,32
14/12,Sunday,15:05,25,13,UTMy,Batu Caves Temple,Clear,47
15/12,Monday,10:13,19,8.24,UTMy,Sunway Pyramid Mall,Clear,12
15/12,Monday,10:14,6,1.22,UTMy,Mid Valley Mega Mall,Clear,6
15/12,Monday,10:15,18,6.84,UTMy,KLCC Twin Towers,Clear,14
15/12,Monday,10:16,24,5.7,UTMy,1 Mont Kiara,Clear,13
15/12,Monday,10:17,14,5.35,UTMy,Lalaport Bukit Bintang,Clear,12
15/12,Monday,10:18,50,40,UTMy,KLIA,Clear,65
15/12,Monday,10:19,19,6.89,UTMy,1 Utama Shopping mall,Clear,13
15/12,Monday,10:20,7,0.86,UTMy,Laurel Residence,Clear,6
15/12,Monday,10:21,17,11,UTMy,Taylor's University,Clear,12
15/12,Monday,10:23,28,13,UTMy,Batu Caves Temple,Clear,20
15/12,Monday,14:40,17,8.24,UTMy,Sunway Pyramid Mall,Clear,15
15/12,Monday,14:40,6,1.22,UTMy,Mid Valley Mega Mall,Clear,7
15/12,Monday,14:41,18,6.84,UTMy,KLCC Twin Towers,Clear,16
15/12,Monday,14:41,25,5.7,UTMy,1 Mont Kiara,Clear,14
15/12,Monday,14:42,16,5.35,UTMy,Lalaport Bukit Bintang,Clear,14
15/12,Monday,14:42,52,40,UTMy,KLIA,Clear,65
15/12,Monday,14:43,19,6.89,UTMy,1 Utama Shopping mall,Clear,16
15/12,Monday,14:43,6,0.86,UTMy,Laurel Residence,Clear,7
15/12,Monday,14:44,19,11,UTMy,Taylor's University,Clear,17
15/12,Monday,14:45,28,13,UTMy,Batu Caves Temple,Clear,23
15/12,Monday,16:15,19,8.24,UTMy,Sunway Pyramid Mall,Clear,13
15/12,Monday,16:16,5,1.22,UTMy,Mid Valley Mega Mall,Clear,6
15/12,Monday,16:17,17,6.84,UTMy,KLCC Twin Towers,Clear,13
15/12,Monday,16:18,25,5.7,UTMy,1 Mont Kiara,Clear,13
15/12,Monday,16:19,16,5.35,UTMy,Lalaport Bukit Bintang,Clear,12
15/12,Monday,16:20,60,40,UTMy,KLIA,Clear,65
15/12,Monday,16:21,21,6.89,UTMy,1 Utama Shopping mall,Clear,14
15/12,Monday,16:22,5,0.86,UTMy,Laurel Residence,Clear,5
15/12,Monday,16:23,21,11,UTMy,Taylor's University,Clear,13
15/12,Monday,16:24,31,13,UTMy,Batu Caves Temple,Clear,20
16/12,Tuesday,00:53,11,8.24,UTMy,Sunway Pyramid Mall,Rain,15
16/12,Tuesday,00:53,4,1.22,UTMy,Mid Valley Mega Mall,Rain,9
16/12,Tuesday,00:54,14,6.84,UTMy,KLCC Twin Towers,Rain,19
16/12,Tuesday,00:54,17,5.7,UTMy,1 Mont Kiara,Rain,16
16/12,Tuesday,00:55,11,5.35,UTMy,Lalaport Bukit Bintang,Rain,16
16/12,Tuesday,00:55,50,40,UTMy,KLIA,Rain,71
16/12,Tuesday,00:56,15,6.89,UTMy,1 Utama Shopping mall,Rain,17
16/12,Tuesday,00:57,5,0.86,UTMy,Laurel Residence,Rain,8
16/12,Tuesday,00:57,10,11,UTMy,Taylor's University,Rain,16
16/12,Tuesday,00:58,19,13,UTMy,Batu Caves Temple,Rain,22
16/12,Tuesday,03:45,11,8.24,UTMy,Sunway Pyramid Mall,Clear,12
16/12,Tuesday,03:45,4,1.22,UTMy,Mid Valley Mega Mall,Clear,7
16/12,Tuesday,03:46,14,6.84,UTMy,KLCC Twin Towers,Clear,16
16/12,Tuesday,03:46,17,5.7,UTMy,1 Mont Kiara,Clear,13
16/12,Tuesday,03:37,10,5.35,UTMy,Lalaport Bukit Bintang,Clear,13
16/12,Tuesday,03:48,46,40,UTMy,KLIA,Clear,65
16/12,Tuesday,03:49,14,6.89,UTMy,1 Utama Shopping mall,Clear,13
16/12,Tuesday,03:50,4,0.86,UTMy,Laurel Residence,Clear,7
16/12,Tuesday,03:51,10,11,UTMy,Taylor's University,Clear,13
16/12,Tuesday,03:52,18,13,UTMy,Batu Caves Temple,Clear,17
16/12,Tuesday,08:28,28,8.24,UTMy,Sunway Pyramid Mall,Clear,19
16/12,Tuesday,08:29,5,1.22,UTMy,Mid Valley Mega Mall,Clear,9
16/12,Tuesday,08:29,20,6.84,UTMy,KLCC Twin Towers,Clear,22
16/12,Tuesday,08:30,24,5.7,UTMy,1 Mont Kiara,Clear,19
16/12,Tuesday,08:31,24,5.35,UTMy,Lalaport Bukit Bintang,Clear,20
16/12,Tuesday,08:31,48,40,UTMy,KLIA,Clear,69
16/12,Tuesday,08:32,18,6.89,UTMy,1 Utama Shopping mall,Clear,18
16/12,Tuesday,08:32,8,0.86,UTMy,Laurel Residence,Clear,10
16/12,Tuesday,08:33,28,11,UTMy,Taylor's University,Clear,17
16/12,Tuesday,08:34,27,13,UTMy,Batu Caves Temple,Clear,23
17/12,Wednesday,16:36,26,8.24,UTMy,Sunway Pyramid Mall,Rain,31
17/12,Wednesday,16:36,6,1.22,UTMy,Mid Valley Mega Mall,Rain,14
17/12,Wednesday,16:36,22,6.84,UTMy,KLCC Twin Towers,Rain,35
17/12,Wednesday,16:37,28,5.7,UTMy,1 Mont Kiara,Rain,30
17/12,Wednesday,16:37,19,5.35,UTMy,Lalaport Bukit Bintang,Rain,29
17/12,Wednesday,16:38,69,40,UTMy,KLIA,Rain,75
17/12,Wednesday,16:39,27,6.89,UTMy,1 Utama Shopping mall,Rain,36
17/12,Wednesday,16:39,7,0.86,UTMy,Laurel Residence,Rain,13
17/12,Wednesday,16:40,29,11,UTMy,Taylor's University,Rain,33
17/12,Wednesday,16:40,40,13,UTMy,Batu Caves Temple,Rain,43
18/12,Thursday,09:41,20,8.24,UTMy,Sunway Pyramid Mall,Clear,15
18/12,Thursday,09:42,5,1.22,UTMy,Mid Valley Mega Mall,Clear,6
18/12,Thursday,09:43,26,6.84,UTMy,KLCC Twin Towers,Clear,13
18/12,Thursday,09:44,24,5.7,UTMy,1 Mont Kiara,Clear,13
18/12,Thursday,09:45,13,5.35,UTMy,Lalaport Bukit Bintang,Clear,13
18/12,Thursday,09:46,48,40,UTMy,KLIA,Clear,65
18/12,Thursday,09:47,19,6.89,UTMy,1 Utama Shopping mall,Clear,13
18/12,Thursday,09:48,6,0.86,UTMy,Laurel Residence,Clear,6
18/12,Thursday,09:48,20,11,UTMy,Taylor's University,Clear,15
18/12,Thursday,09:48,25,13,UTMy,Batu Caves Temple,Clear,20
19/12,Friday,08:22,18,8.24,UTMy,Sunway Pyramid Mall,Rain,13
19/12,Friday,08:22,5,1.22,UTMy,Mid Valley Mega Mall,Rain,6
19/12,Friday,08:23,18,6.84,UTMy,KLCC Twin Towers,Rain,14
19/12,Friday,08:24,23,5.7,UTMy,1 Mont Kiara,Rain,13
19/12,Friday,08:25,15,5.35,UTMy,Lalaport Bukit Bintang,Rain,13
19/12,Friday,08:26,50,40,UTMy,KLIA,Rain,65
19/12,Friday,08:27,18,6.89,UTMy,1 Utama Shopping mall,Rain,15
19/12,Friday,08:28,7,0.86,UTMy,Laurel Residence,Rain,8
19/12,Friday,08:29,19,11,UTMy,Taylor's University,Rain,17
19/12,Friday,08:30,25,13,UTMy,Batu Caves Temple,Rain,19
19/12,Friday,10:15,18,8.24,UTMy,Sunway Pyramid Mall,Rain,13
19/12,Friday,10:16,7,1.22,UTMy,Mid Valley Mega Mall,Rain,6
19/12,Friday,10:17,19,6.84,UTMy,KLCC Twin Towers,Rain,15
19/12,Friday,10:18,25,5.7,UTMy,1 Mont Kiara,Rain,14
19/12,Friday,10:19,16,5.35,UTMy,Lalaport Bukit Bintang,Rain,14
19/12,Friday,10:20,52,40,UTMy,KLIA,Rain,65
19/12,Friday,10:20,18,6.89,UTMy,1 Utama Shopping mall,Rain,14
19/12,Friday,10:21,7,0.86,UTMy,Laurel Residence,Rain,6
19/12,Friday,10:21,19,11,UTMy,Taylor's University,Rain,14
19/12,Friday,10:22,28,13,UTMy,Batu Caves Temple,Rain,23
21/12,Sunday,01:54,11,8.24,UTMy,Sunway Pyramid Mall,Clear,14
21/12,Sunday,01:54,4,1.22,UTMy,Mid Valley Mega Mall,Clear,8
21/12,Sunday,01:55,14,6.84,UTMy,KLCC Twin Towers,Clear,19
21/12,Sunday,01:55,18,5.7,UTMy,1 Mont Kiara,Clear,14
21/12,Sunday,01:56,10,5.35,UTMy,Lalaport Bukit Bintang,Clear,14
21/12,Sunday,01:56,46,40,UTMy,KLIA,Clear,73
21/12,Sunday,01:57,15,6.89,UTMy,1 Utama Shopping mall,Clear,20
21/12,Sunday,01:57,5,0.86,UTMy,Laurel Residence,Clear,8
21/12,Sunday,01:58,10,11,UTMy,Taylor's University,Clear,13
21/12,Sunday,01:59,18,13,UTMy,Batu Caves Temple,Clear,32
23/12,Tuesday,15:27,18,8.24,UTMy,Sunway Pyramid Mall,Clear ,20
23/12,Tuesday,15:27,5,1.22,UTMy,Mid Valley Mega Mall,Clear ,11
23/12,Tuesday,15:28,24,6.84,UTMy,KLCC Twin Towers,Clear ,29
23/12,Tuesday,15:28,25,5.7,UTMy,1 Mont Kiara,Clear ,22
23/12,Tuesday,15:29,17,5.35,UTMy,Lalaport Bukit Bintang,Clear ,22
23/12,Tuesday,15:29,52,40,UTMy,KLIA,Clear ,75
23/12,Tuesday,15:30,20,6.89,UTMy,1 Utama Shopping mall,Clear ,24
23/12,Tuesday,15:30,5,0.86,UTMy,Laurel Residence,Clear ,10
23/12,Tuesday,15:31,19,11,UTMy,Taylor's University,Clear ,22
23/12,Tuesday,15:32,27,13,UTMy,Batu Caves Temple,Clear ,33
24/12,Wednesday,08:56,18,8.24,UTMy,Sunway Pyramid Mall,Clear,12
24/12,Wednesday ,08:56,4,1.22,UTMy,Mid Valley Mega Mall,Clear ,6
24/12,Wednesday ,08:57,16,6.84,UTMy,KLCC Twin Towers,Clear,14
24/12,Wednesday ,08:57,22,5.7,UTMy,1 Mont Kiara,Clear ,13
24/12,Wednesday ,08:58,12,5.35,UTMy,Lalaport Bukit Bintang,Clear ,12
24/12,Wednesday ,08:58,47,40,UTMy,KLIA,Clear ,65
24/12,Wednesday ,08:59,17,6.89,UTMy,1 Utama Shopping mall,Clear ,14
24/12,Wednesday ,09:01,7,0.86,UTMy,Laurel Residence,Clear ,7
24/12,Wednesday ,09:03,16,11,UTMy,Taylor's University,Clear ,13
24/12,Wednesday ,09:04,26,13,UTMy,Batu Caves Temple,Clear ,18
24/12,Wednesday,12:25,18,8.24,UTMy,Sunway Pyramid Mall,Clear,21
24/12,Wednesday ,12:26,6,1.22,UTMy,Mid Valley Mega Mall,Clear ,9
24/12,Wednesday ,12:27,18,6.84,UTMy,KLCC Twin Towers,Clear ,18
24/12,Wednesday ,12:28,24,5.7,UTMy,1 Mont Kiara,Clear ,18
24/12,Wednesday ,12:29,20,5.35,UTMy,Lalaport Bukit Bintang,Clear ,15
24/12,Wednesday ,12:30,52,40,UTMy,KLIA,Clear ,65
24/12,Wednesday ,12:31,21,6.89,UTMy,1 Utama Shopping mall,Clear ,18
24/12,Wednesday ,12:32,5,0.86,UTMy,Laurel Residence,Clear ,6
24/12,Wednesday ,12:33,20,11,UTMy,Taylor's University,Clear ,13
24/12,Wednesday ,12:34,28,13,UTMy,Batu Caves Temple,Clear ,19
24/12,Wednesday ,16:05,22,8.24,UTMy,Sunway Pyramid Mall,Clear ,39
24/12,Wednesday ,16:06,6,1.22,UTMy,Mid Valley Mega Mall,Clear ,17
24/12,Wednesday ,16:07,23,6.84,UTMy,KLCC Twin Towers,Clear ,39
24/12,Wednesday ,16:08,27,5.7,UTMy,1 Mont Kiara,Clear ,33
24/12,Wednesday ,16:09,17,5.35,UTMy,Lalaport Bukit Bintang,Clear ,35
24/12,Wednesday ,16:10,66,40,UTMy,KLIA,Clear ,75
24/12,Wednesday ,16:11,23,6.89,UTMy,1 Utama Shopping mall,Clear ,37
24/12,Wednesday ,16:12,6,0.86,UTMy,Laurel Residence,Clear ,13
24/12,Wednesday ,16:13,22,11,UTMy,Taylor's University,Clear ,36
24/12,Wednesday ,16:16,35,13,UTMy,Batu Caves Temple,Clear ,49
25/12,Thursday,00:27,14,8.24,UTMy,Sunway Pyramid Mall,Clear,40
25/12,Thursday,00:27,4,1.22,UTMy,Mid Valley Mega Mall,Clear,15
25/12,Thursday,00:28,15,6.84,UTMy,KLCC Twin Towers,Clear,34
25/12,Thursday,00:28,18,5.7,UTMy,1 Mont Kiara,Clear,29
25/12,Thursday,00:29,13,5.35,UTMy,Lalaport Bukit Bintang,Clear,29
25/12,Thursday,00:29,44,40,UTMy,KLIA,Clear,82
25/12,Thursday,00:30,18,6.89,UTMy,1 Utama Shopping mall,Clear,37
25/12,Thursday,00:30,5,0.86,UTMy,Laurel Residence,Clear,14
25/12,Thursday,00:31,11,11,UTMy,Taylor's University,Clear,28
25/12,Thursday,00:33,19,13,UTMy,Batu Caves Temple,Clear,38
26/12,Friday,15:25,18,8.24,UTMy,Sunway Pyramid Mall,Clear,30
26/12,Friday,15:25,5,1.22,UTMy,Mid Valley Mega Mall,Clear,9
26/12,Friday,15:26,18,6.84,UTMy,KLCC Twin Towers,Clear,30
26/12,Friday,15:26,23,5.7,UTMy,1 Mont Kiara,Clear,21
26/12,Friday,15:27,17,5.35,UTMy,Lalaport Bukit Bintang,Clear,21
26/12,Friday,15:27,56,40,UTMy,KLIA,Clear,75
26/12,Friday,15:29,21,6.89,UTMy,1 Utama Shopping mall,Clear,23
26/12,Friday,15:28,5,0.86,UTMy,Laurel Residence,Clear,8
26/12,Friday,15:30,15,11,UTMy,Taylor's University,Clear,22
26/12,Friday,15:30,25,13,UTMy,Batu Caves Temple,Clear,23
26/12,Friday,19:05,18,8.24,UTMy,Sunway Pyramid Mall,Thunder,41
26/12,Friday,19:05,5,1.22,UTMy,Mid Valley Mega Mall,Thunder,21
26/12,Friday,19:06,22,6.84,UTMy,KLCC Twin Towers,Thunder,60
26/12,Friday,19:06,26,5.7,UTMy,1 Mont Kiara,Thunder,42
26/12,Friday,19:07,21,5.35,UTMy,Lalaport Bukit Bintang,Thunder,45
26/12,Friday,19:07,62,40,UTMy,KLIA,Thunder,82
26/12,Friday,19:08,22,6.89,UTMy,1 Utama Shopping mall,Thunder,43
26/12,Friday,19:08,5,0.86,UTMy,Laurel Residence,Thunder,16
26/12,Friday,19:09,19,11,UTMy,Taylor's University,Thunder,45
26/12,Friday,19:09,25,13,UTMy,Batu Caves Temple,Thunder,68
27/12,Saturday,23:28,13,8.24,UTMy,Sunway Pyramid Mall,Clear,21
27/12,Saturday,23:29,4,1.22,UTMy,Mid Valley Mega Mall,Clear ,10
27/12,Saturday,23:29,17,6.84,UTMy,KLCC Twin Towers,Clear ,24
27/12,Saturday,23:30,18,5.7,UTMy,1 Mont Kiara,Clear ,21
27/12,Saturday,23:30,13,5.35,UTMy,Lalaport Bukit Bintang,Clear ,18
27/12,Saturday,23:31,48,40,UTMy,KLIA,Clear,79
27/12,Saturday,23:31,15,6.89,UTMy,1 Utama Shopping mall,Clear,20
27/12,Saturday,23:32,8,0.86,UTMy,Laurel Residence,Clear ,8
27/12,Saturday,23:33,12,11,UTMy,Taylor's University,Clear ,17
27/12,Saturday,23:35,24,13,UTMy,Batu Caves Temple,Clear ,21
28/12,Sunday,22:30,15,8.24,UTMy,Sunway Pyramid Mall,Clear ,29
28/12,Sunday,22:30,5,1.22,UTMy,Mid Valley Mega Mall,Clear ,15
28/12,Sunday,22:31,16,6.84,UTMy,KLCC Twin Towers,Clear ,39
28/12,Sunday,22:31,16,5.7,UTMy,1 Mont Kiara,Clear ,30
28/12,Sunday,22:32,13,5.35,UTMy,Lalaport Bukit Bintang,Clear ,29
28/12,Sunday,22:32,49,40,UTMy,KLIA,Clear,82
28/12,Sunday,22:33,16,6.89,UTMy,1 Utama Shopping mall,Clear,32
28/12,Sunday,22:33,5,0.86,UTMy,Laurel Residence,Clear ,12
28/12,Sunday,22:34,16,11,UTMy,Taylor's University,Clear ,26
28/12,Sunday,22:34,22,13,UTMy,Batu Caves Temple,Clear ,36
29/12,Monday,21:10,17,8.24,UTMy,Sunway Pyramid Mall,Clear ,23
29/12,Monday,21:10,5,1.22,UTMy,Mid Valley Mega Mall,Clear ,9
29/12,Monday,21:11,15,6.84,UTMy,KLCC Twin Towers,Clear ,28
29/12,Monday,21:11,20,5.7,UTMy,1 Mont Kiara,Clear ,25
29/12,Monday,21:12,13,5.35,UTMy,Lalaport Bukit Bintang,Clear ,24
29/12,Monday,21:12,49,40,UTMy,KLIA,Clear,82
29/12,Monday,21:13,17,6.89,UTMy,1 Utama Shopping mall,Clear,25
29/12,Monday,21:13,5,0.86,UTMy,Laurel Residence,Clear ,10
29/12,Monday,21:14,16,11,UTMy,Taylor's University,Clear ,30
29/12,Monday,21:15,21,13,UTMy,Batu Caves Temple,Clear ,31
30/12,Tuesday,01:05,12,8.24,UTMy,Sunway Pyramid Mall,Rain,14
30/12,Tuesday,01:05,4,1.22,UTMy,Mid Valley Mega Mall,Rain,8
30/12,Tuesday,01:06,14,6.84,UTMy,KLCC Twin Towers,Rain,17
30/12,Tuesday,01:06,14,5.7,UTMy,1 Mont Kiara,Rain,15
30/12,Tuesday,01:07,12,5.35,UTMy,Lalaport Bukit Bintang,Rain,14
30/12,Tuesday,01:07,42,40,UTMy,KLIA,Rain,71
30/12,Tuesday,01:08,14,6.89,UTMy,1 Utama Shopping mall,Rain,16
30/12,Tuesday,01:08,5,0.86,UTMy,Laurel Residence,Rain,8
30/12,Tuesday,01:09,11,11,UTMy,Taylor's University,Rain,14
30/12,Tuesday,01:09,18,13,UTMy,Batu Caves Temple,Rain,20
30/12,Tuesday,16:05,19,8.24,UTMy,Sunway Pyramid Mall,Thunder,35
30/12,Tuesday,16:05,6,1.22,UTMy,Mid Valley Mega Mall,Thunder,18
30/12,Tuesday,16:05,18,6.84,UTMy,KLCC Twin Towers,Thunder,42
30/12,Tuesday,16:06,23,5.7,UTMy,1 Mont Kiara,Thunder,35
30/12,Tuesday,16:06,18,5.35,UTMy,Lalaport Bukit Bintang,Thunder,34
30/12,Tuesday,16:06,60,40,UTMy,KLIA,Thunder,75
30/12,Tuesday,16:07,23,6.89,UTMy,1 Utama Shopping mall,Thunder,37
30/12,Tuesday,16:07,6,0.86,UTMy,Laurel Residence,Thunder,14
30/12,Tuesday,16:07,22,11,UTMy,Taylor's University,Thunder,36
30/12,Tuesday,16:08,30,13,UTMy,Batu Caves Temple,Thunder,54
